"Start Date","Start Time","End Date","End Time","Time Zone","Duration of Trip","Start ODO(miles)","End ODO(miles)","Distance(miles)","Electric Consumption(miles/kWh)","Electricity Usage(%)","Start URL","Start Lat/Lon","End URL","End Lat/Lon","Purpose","Driver"
"2026-06-08","08:05","2026-06-08","08:23","BST (UTC+01:00)","00:18","8","14","5.7","3.0",2,"https://maps.google.com/?q=55.83408,-4.28294","55.83408,-4.28294","https://maps.google.com/?q=55.81746,-4.2388","55.81746,-4.2388","Undefined","Unknown"
"2026-06-08","12:05","2026-06-08","12:33","BST (UTC+01:00)","00:28","14","24","9.5","3.1",3,"https://maps.google.com/?q=55.81746,-4.2388","55.81746,-4.2388","https://maps.google.com/?q=55.82935,-4.26239","55.82935,-4.26239","Undefined","Unknown"
"2026-06-09","08:05","2026-06-09","08:31","BST (UTC+01:00)","00:26","24","33","8.5","3.3",3,"https://maps.google.com/?q=55.82935,-4.26239","55.82935,-4.26239","https://maps.google.com/?q=55.81005,-4.24943","55.81005,-4.24943","Undefined","Unknown"
"2026-06-09","12:05","2026-06-09","12:40","BST (UTC+01:00)","00:35","33","46","12.3","3.4",4,"https://maps.google.com/?q=55.81005,-4.24943","55.81005,-4.24943","https://maps.google.com/?q=55.82226,-4.33866","55.82226,-4.33866","Undefined","Unknown"
"2026-06-09","16:05","2026-06-09","16:50","BST (UTC+01:00)","00:45","46","63","16.1","3.5",6,"https://maps.google.com/?q=55.82226,-4.33866","55.82226,-4.33866","https://maps.google.com/?q=55.87846,-4.2869","55.87846,-4.2869","Undefined","Unknown"
"2026-06-10","08:05","2026-06-10","08:38","BST (UTC+01:00)","00:33","63","75","11.4","3.6",4,"https://maps.google.com/?q=55.87846,-4.2869","55.87846,-4.2869","https://maps.google.com/?q=55.85776,-4.24818","55.85776,-4.24818","Undefined","Unknown"
"2026-06-10","12:05","2026-06-10","12:47","BST (UTC+01:00)","00:42","75","91","15.2","3.7",5,"https://maps.google.com/?q=55.85776,-4.24818","55.85776,-4.24818","https://maps.google.com/?q=55.82922,-4.24618","55.82922,-4.24618","Undefined","Unknown"
"2026-06-11","08:05","2026-06-11","08:45","BST (UTC+01:00)","00:40","91","106","14.3","3.9",5,"https://maps.google.com/?q=55.82922,-4.24618","55.82922,-4.24618","https://maps.google.com/?q=55.8013,-4.2697","55.8013,-4.2697","Undefined","Unknown"
"2026-06-11","12:05","2026-06-11","12:55","BST (UTC+01:00)","00:50","106","125","18.1","4.0",6,"https://maps.google.com/?q=55.8013,-4.2697","55.8013,-4.2697","https://maps.google.com/?q=55.8642,-4.2518","55.8642,-4.2518","Undefined","Unknown"
"2026-06-11","16:05","2026-06-11","16:31","BST (UTC+01:00)","00:26","125","134","8.5","4.1",3,"https://maps.google.com/?q=55.8642,-4.2518","55.8642,-4.2518","https://maps.google.com/?q=55.845,-4.301","55.845,-4.301","Undefined","Unknown"
"2026-06-12","08:05","2026-06-12","08:52","BST (UTC+01:00)","00:47","134","152","17.1","4.2",6,"https://maps.google.com/?q=55.845,-4.301","55.845,-4.301","https://maps.google.com/?q=55.807,-4.219","55.807,-4.219","Undefined","Unknown"
"2026-06-12","12:05","2026-06-12","12:28","BST (UTC+01:00)","00:23","152","160","7.6","4.3",3,"https://maps.google.com/?q=55.807,-4.219","55.807,-4.219","https://maps.google.com/?q=55.83408,-4.28294","55.83408,-4.28294","Undefined","Unknown"
"2026-06-13","08:05","2026-06-13","08:26","BST (UTC+01:00)","00:21","160","167","6.6","4.5",2,"https://maps.google.com/?q=55.83408,-4.28294","55.83408,-4.28294","https://maps.google.com/?q=55.81746,-4.2388","55.81746,-4.2388","Undefined","Unknown"
"2026-06-13","12:05","2026-06-13","12:35","BST (UTC+01:00)","00:30","167","178","10.4","4.6",4,"https://maps.google.com/?q=55.81746,-4.2388","55.81746,-4.2388","https://maps.google.com/?q=55.82935,-4.26239","55.82935,-4.26239","Undefined","Unknown"
"2026-06-13","16:05","2026-06-13","16:45","BST (UTC+01:00)","00:40","178","193","14.3","4.7",5,"https://maps.google.com/?q=55.82935,-4.26239","55.82935,-4.26239","https://maps.google.com/?q=55.81005,-4.24943","55.81005,-4.24943","Undefined","Unknown"
"2026-06-14","08:05","2026-06-14","08:33","BST (UTC+01:00)","00:28","193","203","9.5","4.8",3,"https://maps.google.com/?q=55.81005,-4.24943","55.81005,-4.24943","https://maps.google.com/?q=55.82226,-4.33866","55.82226,-4.33866","Undefined","Unknown"
"2026-06-14","12:05","2026-06-14","12:43","BST (UTC+01:00)","00:38","203","217","13.3","3.0",5,"https://maps.google.com/?q=55.82226,-4.33866","55.82226,-4.33866","https://maps.google.com/?q=55.87846,-4.2869","55.87846,-4.2869","Undefined","Unknown"
"2026-06-15","08:05","2026-06-15","08:40","BST (UTC+01:00)","00:35","217","230","12.3","3.2",4,"https://maps.google.com/?q=55.87846,-4.2869","55.87846,-4.2869","https://maps.google.com/?q=55.85776,-4.24818","55.85776,-4.24818","Undefined","Unknown"
"2026-06-15","12:05","2026-06-15","12:50","BST (UTC+01:00)","00:45","230","247","16.1","3.3",6,"https://maps.google.com/?q=55.85776,-4.24818","55.85776,-4.24818","https://maps.google.com/?q=55.82922,-4.24618","55.82922,-4.24618","Undefined","Unknown"
"2026-06-15","16:05","2026-06-15","16:26","BST (UTC+01:00)","00:21","247","254","6.6","3.4",2,"https://maps.google.com/?q=55.82922,-4.24618","55.82922,-4.24618","https://maps.google.com/?q=55.8013,-4.2697","55.8013,-4.2697","Undefined","Unknown"
